Time (ms),Name,Value
62750,"Tilter ","true"
62750,"Dumper ","true"
62751,"Drive ","true"
62852,"DumperJag Current","0.0"
62853,"Climber position ","21.16870880126953"
62853,"Tilter angle ","-2.8799972534179688"
62853,"Drive (left) ","0.0"
62853,"Drive (right) ","-0.0"
62853,"Range Finder ","248.73108000000002"
62953,"DumperJag Current","0.0"
62953,"Climber ","true"
62953,"Tilter ","true"
62953,"Dumper ","true"
62953,"Drive ","true"
63058,"DumperJag Current","0.0"
63058,"Climber position ","21.16870880126953"
63058,"Tilter angle ","-2.8799972534179688"
63058,"Drive (left) ","0.0"
63059,"Drive (right) ","-0.0"
63059,"Range Finder ","248.77176000000003"
63161,"DumperJag Current","0.0"
63161,"Climber ","true"
63161,"Tilter ","true"
63162,"Dumper ","true"
63162,"Drive ","true"
63261,"DumperJag Current","0.0"
63262,"Climber position ","21.16870880126953"
63262,"Tilter angle ","-2.8799972534179688"
63262,"Drive (left) ","0.0"
63262,"Drive (right) ","-0.0"
63262,"Range Finder ","248.73108000000002"
63362,"DumperJag Current","0.0"
63362,"Climber ","true"
63362,"Tilter ","true"
63362,"Dumper ","true"
63362,"Drive ","true"
63463,"DumperJag Current","0.0"
63463,"Climber position ","21.16870880126953"
63464,"Tilter angle ","-2.8799972534179688"
63464,"Drive (left) ","0.0"
63464,"Drive (right) ","-0.0"
63464,"Range Finder ","248.77176000000003"
63580,"DumperJag Current","0.0"
63580,"Climber ","true"
63580,"Tilter ","true"
63580,"Dumper ","true"
63580,"Drive ","true"
63666,"DumperJag Current","0.0"
63666,"Climber position ","21.16870880126953"
63666,"Tilter angle ","-2.8799972534179688"
63767,"Drive (left) ","0.0"
63767,"Drive (right) ","-0.0"
63767,"Range Finder ","248.77176000000003"
63767,"DumperJag Current","0.0"
63868,"Climber ","true"
63868,"Tilter ","true"
63868,"Dumper ","true"
63868,"Drive ","true"
63868,"DumperJag Current","0.0"
63969,"Climber position ","21.16870880126953"
63969,"Tilter angle ","-2.8799972534179688"
63969,"Drive (left) ","0.0"
63970,"Drive (right) ","-0.0"
63970,"Range Finder ","248.73108000000002"
63970,"DumperJag Current","0.0"
64070,"DumperJag Current","0.0"
64070,"Climber ","true"
64070,"Tilter ","true"
64071,"Dumper ","true"
64071,"Drive ","true"
64171,"DumperJag Current","0.0"
64171,"Climber position ","21.16870880126953"
64171,"Tilter angle ","-2.8799972534179688"
64171,"Drive (left) ","0.0"
64172,"Drive (right) ","-0.0"
64172,"Range Finder ","248.73108000000002"
64273,"DumperJag Current","0.0"
64274,"Climber ","true"
64274,"Tilter ","true"
64274,"Dumper ","true"
64274,"Drive ","true"
64378,"DumperJag Current","0.0"
64378,"Climber position ","21.16870880126953"
64378,"Tilter angle ","-2.8799972534179688"
64378,"Drive (left) ","0.0"
64379,"Drive (right) ","-0.0"
64379,"Range Finder ","248.77176000000003"
64479,"DumperJag Current","0.0"
64479,"Climber ","true"
64479,"Tilter ","true"
64479,"Dumper ","true"
64479,"Drive ","true"
64581,"DumperJag Current","0.0"
64581,"Climber position ","21.16870880126953"
64581,"Tilter angle ","-2.8799972534179688"
64581,"Drive (left) ","0.0"
64581,"Drive (right) ","-0.0"
64581,"Range Finder ","248.77176000000003"
64682,"DumperJag Current","0.0"
64682,"Climber ","true"
64682,"Tilter ","true"
64682,"Dumper ","true"
64682,"Drive ","true"
64783,"DumperJag Current","0.0"
64783,"Climber position ","21.16870880126953"
64783,"Tilter angle ","-2.8799972534179688"
64783,"Drive (left) ","0.0"
64783,"Drive (right) ","-0.0"
64783,"Range Finder ","248.73108000000002"
64884,"DumperJag Current","0.0"
64884,"Climber ","true"
64884,"Tilter ","true"
64884,"Dumper ","true"
64884,"Drive ","true"
64986,"DumperJag Current","0.0"
64986,"Climber position ","21.16870880126953"
64986,"Tilter angle ","-2.8799972534179688"
65087,"Drive (left) ","0.0"
65088,"Drive (right) ","-0.0"
65088,"Range Finder ","248.73108000000002"
65088,"DumperJag Current","0.0"
65189,"Climber ","true"
65189,"Tilter ","true"
65189,"Dumper ","true"
65189,"Drive ","true"
65189,"DumperJag Current","0.0"
65290,"Climber position ","21.16870880126953"
65291,"Tilter angle ","-2.8799972534179688"
65291,"Drive (left) ","0.0"
65291,"Drive (right) ","-0.0"
65291,"Range Finder ","248.73108000000002"
65292,"DumperJag Current","0.0"
65390,"DumperJag Current","0.0"
65390,"Climber ","true"
65390,"Tilter ","true"
65390,"Dumper ","true"
65391,"Drive ","true"
65494,"DumperJag Current","0.0"
65494,"Climber position ","21.16870880126953"
65495,"Tilter angle ","-2.8799972534179688"
65495,"Drive (left) ","0.0"
65495,"Drive (right) ","-0.0"
65495,"Range Finder ","248.77176000000003"
65597,"DumperJag Current","0.0"
65597,"Climber ","true"
65597,"Tilter ","true"
65597,"Dumper ","true"
65597,"Drive ","true"
65698,"DumperJag Current","0.0"
65698,"Climber position ","21.16870880126953"
65698,"Tilter angle ","-2.8799972534179688"
65699,"Drive (left) ","0.0"
65699,"Drive (right) ","-0.0"
65699,"Range Finder ","248.69039999999998"
65800,"DumperJag Current","0.0"
65800,"Climber ","true"
65800,"Tilter ","true"
65800,"Dumper ","true"
65800,"Drive ","true"
65901,"DumperJag Current","0.0"
65901,"Climber position ","21.16870880126953"
65901,"Tilter angle ","-2.8799972534179688"
65901,"Drive (left) ","0.0"
65901,"Drive (right) ","-0.0"
65901,"Range Finder ","248.77176000000003"
66002,"DumperJag Current","0.0"
66002,"Climber ","true"
66002,"Tilter ","true"
66002,"Dumper ","true"
66002,"Drive ","true"
66103,"DumperJag Current","0.0"
66103,"Climber position ","21.16870880126953"
66104,"Tilter angle ","-2.8799972534179688"
66104,"Drive (left) ","0.0"
66104,"Drive (right) ","-0.0"
66104,"Range Finder ","248.81244"
66204,"DumperJag Current","0.0"
66204,"Climber ","true"
66204,"Tilter ","true"
66204,"Dumper ","true"
66205,"Drive ","true"
66307,"DumperJag Current","0.0"
66307,"Climber position ","21.16870880126953"
66307,"Tilter angle ","-2.8799972534179688"
66407,"Drive (left) ","0.0"
66407,"Drive (right) ","-0.0"
66407,"Range Finder ","248.77176000000003"
66407,"DumperJag Current","0.0"
66508,"Climber ","true"
66508,"Tilter ","true"
66508,"Dumper ","true"
66508,"Drive ","true"
66508,"DumperJag Current","0.0"
66609,"Climber position ","21.16870880126953"
66610,"Tilter angle ","-2.8799972534179688"
66610,"Drive (left) ","0.0"
66610,"Drive (right) ","-0.0"
66610,"Range Finder ","248.77176000000003"
66610,"DumperJag Current","0.0"
66711,"DumperJag Current","0.0"
66711,"Climber ","true"
66711,"Tilter ","true"
66712,"Dumper ","true"
66712,"Drive ","true"
66814,"DumperJag Current","0.0"
66814,"Climber position ","21.16870880126953"
66814,"Tilter angle ","-2.8799972534179688"
66814,"Drive (left) ","0.0"
66815,"Drive (right) ","-0.0"
66815,"Range Finder ","248.77176000000003"
66917,"DumperJag Current","0.0"
66917,"Climber ","true"
66917,"Tilter ","true"
66917,"Dumper ","true"
66917,"Drive ","true"
67018,"DumperJag Current","0.0"
67018,"Climber position ","21.16870880126953"
67019,"Tilter angle ","-2.8799972534179688"
67019,"Drive (left) ","0.0"
67019,"Drive (right) ","-0.0"
67019,"Range Finder ","248.77176000000003"
67120,"DumperJag Current","0.0"
67120,"Climber ","true"
67120,"Tilter ","true"
67120,"Dumper ","true"
67120,"Drive ","true"
67221,"DumperJag Current","0.0"
67221,"Climber position ","21.16870880126953"
67221,"Tilter angle ","-2.8799972534179688"
67221,"Drive (left) ","0.0"
67221,"Drive (right) ","-0.0"
67222,"Range Finder ","248.77176000000003"
67322,"DumperJag Current","0.0"
67322,"Climber ","true"
67322,"Tilter ","true"
67322,"Dumper ","true"
67323,"Drive ","true"
67649,"DumperJag Current","0.0"
67649,"Climber position ","21.16870880126953"
67649,"Tilter angle ","-2.8799972534179688"
67649,"Drive (left) ","0.0"
67649,"Drive (right) ","-0.0"
67649,"Range Finder ","248.77176000000003"
67650,"DumperJag Current","0.0"
67650,"Climber ","true"
67650,"Tilter ","true"
67650,"Dumper ","true"
67650,"Drive ","true"
67650,"DumperJag Current","0.0"
67650,"Climber position ","21.16870880126953"
67650,"Tilter angle ","-2.8799972534179688"
67726,"Drive (left) ","0.0"
